record_id,metric_number,legacy_metric_number_mapped,v3_1_to_v3_2_domain_status,v3_2_to_v4_label_status,metric_type,ignition_driver,line_type,hftd_tier,unit_canonical,unit_crosswalk_status,ignition_driver_tracked,actual_value,comments,blank_meaning,utility_id,reporting_year,reporting_quarter,schema_version,source_revision,source_report_quarter,source_file,source_sheet,source_row,source_value_cell,guideline_url
T6R-557b6d218cbf3cfb,1060000014,2.b.d.3,exact,exact,2. Contact from object,Balloon contact,Distribution,HFTD Tier 3,# ignitions,exact,Yes,0,,,SDG&E,2023,3,v3.1,0,4,SDGE_2023_Q4_Tables1-15.xlsx,Table 6,24,O24,https://efiling.energysafety.ca.gov/eFiling/Getfile.aspx?fileid=53475&shareable=true
T6R-969719dbd09de3d0,1060000014,2.b.d.3,exact,exact,2. Contact from object,Balloon contact,Distribution,HFTD Tier 3,# ignitions,exact,Yes,0,,,SDG&E,2023,4,v3.1,0,4,SDGE_2023_Q4_Tables1-15.xlsx,Table 6,24,P24,https://efiling.energysafety.ca.gov/eFiling/Getfile.aspx?fileid=53475&shareable=true
T6R-07ab06a13da67552,1060000015,2.b.t.0,exact,exact,2. Contact from object,Balloon contact,Transmission,Non-HFTD,# ignitions,exact,Yes,0,,,SDG&E,2023,1,v3.1,0,4,SDGE_2023_Q4_Tables1-15.xlsx,Table 6,25,M25,https://efiling.energysafety.ca.gov/eFiling/Getfile.aspx?fileid=53475&shareable=true
T6R-0d512e7602b0aad9,1060000015,2.b.t.0,exact,exact,2. Contact from object,Balloon contact,Transmission,Non-HFTD,# ignitions,exact,Yes,0,,,SDG&E,2023,2,v3.1,0,4,SDGE_2023_Q4_Tables1-15.xlsx,Table 6,25,N25,https://efiling.energysafety.ca.gov/eFiling/Getfile.aspx?fileid=53475&shareable=true
T6R-e3912953dc89b8ee,1060000015,2.b.t.0,exact,exact,2. Contact from object,Balloon contact,Transmission,Non-HFTD,# ignitions,exact,Yes,0,,,SDG&E,2023,3,v3.1,0,4,SDGE_2023_Q4_Tables1-15.xlsx,Table 6,25,O25,https://efiling.energysafety.ca.gov/eFiling/Getfile.aspx?fileid=53475&shareable=true
T6R-ea19bc52489012b1,1060000015,2.b.t.0,exact,exact,2. Contact from object,Balloon contact,Transmission,Non-HFTD,# ignitions,exact,Yes,1,,,SDG&E,2023,4,v3.1,0,4,SDGE_2023_Q4_Tables1-15.xlsx,Table 6,25,P25,https://efiling.energysafety.ca.gov/eFiling/Getfile.aspx?fileid=53475&shareable=true
T6R-98e4e7a4849c2af4,1060000016,2.b.t.2,exact,exact,2. Contact from object,Balloon contact,Transmission,HFTD Tier 2,# ignitions,exact,Yes,0,,,SDG&E,2023,1,v3.1,0,4,SDGE_2023_Q4_Tables1-15.xlsx,Table 6,26,M26,https://efiling.energysafety.ca.gov/eFiling/Getfile.aspx?fileid=53475&shareable=true
T6R-9c63bf295a530a04,1060000016,2.b.t.2,exact,exact,2. Contact from object,Balloon contact,Transmission,HFTD Tier 2,# ignitions,exact,Yes,0,,,SDG&E,2023,2,v3.1,0,4,SDGE_2023_Q4_Tables1-15.xlsx,Table 6,26,N26,https://efiling.energysafety.ca.gov/eFiling/Getfile.aspx?fileid=53475&shareable=true
T6R-58d2374a43f54c5b,1060000016,2.b.t.2,exact,exact,2. Contact from object,Balloon contact,Transmission,HFTD Tier 2,# ignitions,exact,Yes,0,,,SDG&E,2023,3,v3.1,0,4,SDGE_2023_Q4_Tables1-15.xlsx,Table 6,26,O26,https://efiling.energysafety.ca.gov/eFiling/Getfile.aspx?fileid=53475&shareable=true
T6R-b3f141c97d3e4f82,1060000016,2.b.t.2,exact,exact,2. Contact from object,Balloon contact,Transmission,HFTD Tier 2,# ignitions,exact,Yes,0,,,SDG&E,2023,4,v3.1,0,4,SDGE_2023_Q4_Tables1-15.xlsx,Table 6,26,P26,https://efiling.energysafety.ca.gov/eFiling/Getfile.aspx?fileid=53475&shareable=true
T6R-41250dc76bc5c680,1060000017,2.b.t.3,exact,exact,2. Contact from object,Balloon contact,Transmission,HFTD Tier 3,# ignitions,exact,Yes,0,,,SDG&E,2023,1,v3.1,0,4,SDGE_2023_Q4_Tables1-15.xlsx,Table 6,27,M27,https://efiling.energysafety.ca.gov/eFiling/Getfile.aspx?fileid=53475&shareable=true
